variant,size,seed,layers,similarity,species,num_clusters,cluster_sizes
with_influencer,40,17,3,hybrid,blue,8,112;96;68;67;53;10;4;4
without_influencer,40,22,2,hybrid,red,21,244;108;27;18;16;10;10;8;6;6;2;2;2;2;1;1;1;1;1;1;1
without_influencer,40,22,2,hybrid,green,18,200;183;46;16;12;8;6;4;4;2;1;1;1;1;1;1;1;1
without_influencer,40,22,2,hybrid,blue,31,71;40;39;33;17;16;13;8;8;6;6;4;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
with_influencer,40,22,1,hybrid,red,11,156;69;66;49;29;19;7;7;5;4;1
with_influencer,40,22,1,hybrid,green,12,185;165;32;14;11;10;7;6;4;2;1;1
with_influencer,40,22,1,hybrid,blue,12,124;86;73;60;12;9;8;7;5;4;2;1
with_influencer,40,22,2,hybrid,red,14,129;87;75;43;21;18;9;8;7;4;4;2;2;1
with_influencer,40,22,2,hybrid,green,16,196;72;34;33;20;20;20;13;13;12;12;7;4;2;1;1
with_influencer,40,22,2,hybrid,blue,16,124;43;39;35;29;25;17;15;11;11;11;5;3;1;1;1
without_influencer,40,605,1,hybrid,red,11,272;75;33;27;16;11;9;6;3;2;2
without_influencer,40,605,1,hybrid,green,18,211;30;28;20;11;9;6;6;6;5;4;3;2;2;1;1;1;1
without_influencer,40,605,1,hybrid,blue,14,113;55;51;47;44;33;25;21;10;9;6;4;3;2
with_influencer,40,22,3,hybrid,red,10,278;68;49;31;21;14;9;7;6;2
with_influencer,40,22,3,hybrid,green,8,401;37;20;19;11;10;8;8
with_influencer,40,22,3,hybrid,blue,8,104;40;37;30;13;10;6;2
without_influencer,40,605,2,hybrid,red,21,341;31;30;16;16;6;5;4;3;2;2;2;2;1;1;1;1;1;1;1;1
without_influencer,40,605,2,hybrid,green,28,234;51;21;18;15;8;7;6;5;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,605,2,hybrid,blue,29,139;67;32;29;26;18;17;8;7;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,605,3,hybrid,red,33,243;120;31;16;12;6;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,605,3,hybrid,green,37,213;57;9;8;6;6;5;5;5;5;4;4;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,605,3,hybrid,blue,35,144;74;50;44;38;11;3;3;3;3;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
with_influencer,40,605,1,hybrid,red,14,214;65;29;25;21;21;13;12;11;8;4;4;2;1
with_influencer,40,605,1,hybrid,green,12,249;76;12;9;8;7;5;5;3;2;1;1
with_influencer,40,605,1,hybrid,blue,15,180;41;39;37;33;23;16;12;10;10;6;5;3;2;1
with_influencer,40,605,2,hybrid,red,10,363;21;21;14;12;11;9;8;6;4
with_influencer,40,605,2,hybrid,green,10,203;47;25;14;13;11;10;10;7;2
with_influencer,40,605,2,hybrid,blue,11,169;51;41;39;34;32;25;8;7;7;2
without_influencer,40,70,1,hybrid,red,16,75;48;37;27;25;24;22;18;17;12;12;12;11;10;9;6
without_influencer,40,70,1,hybrid,green,16,149;117;77;49;34;27;15;6;6;4;3;1;1;1;1;1
without_influencer,40,70,1,hybrid,blue,20,104;55;53;50;25;24;18;14;11;8;6;5;5;2;2;2;1;1;1;1
with_influencer,40,605,3,hybrid,red,7,387;37;21;16;13;6;3
with_influencer,40,605,3,hybrid,green,12,254;30;19;17;8;7;7;3;2;1;1;1
with_influencer,40,605,3,hybrid,blue,9,177;50;40;39;35;28;10;8;6
