variant,size,seed,layers,similarity,step,moves,tau,entropy,gini,drift
without_influencer,140,11,3,hybrid,12,0,0.674147,0.688150,0.309635,0.011492
without_influencer,140,11,2,hybrid,12,0,0.662487,0.575482,0.261833,0.015541
without_influencer,140,42,1,hybrid,12,2,0.664336,0.347607,0.161054,0.022142
with_influencer,140,11,2,hybrid,12,98,0.674618,0.261721,0.121507,0.035823
with_influencer,140,11,1,hybrid,12,168,0.675627,0.238770,0.110743,0.033646
without_influencer,140,42,2,hybrid,12,1,0.664045,0.575513,0.261532,0.015964
with_influencer,140,11,3,hybrid,12,58,0.670843,0.294659,0.136816,0.027312
without_influencer,140,42,3,hybrid,12,0,0.675704,0.706764,0.317243,0.012330
with_influencer,140,42,1,hybrid,12,122,0.667615,0.259989,0.120544,0.032383
with_influencer,140,42,2,hybrid,12,96,0.668934,0.277651,0.128997,0.035046
without_influencer,140,20,1,hybrid,12,2,0.664364,0.340009,0.157997,0.021614
with_influencer,140,42,3,hybrid,12,39,0.666513,0.311823,0.144630,0.026262
without_influencer,140,20,2,hybrid,12,1,0.662739,0.574676,0.260999,0.015482
baseline,140,22,1,cosine,12,5011,0.750000,0.393877,0.173085,0.000000
without_influencer,140,20,3,hybrid,12,0,0.674443,0.695110,0.312225,0.012330
with_influencer,140,20,1,hybrid,12,192,0.676191,0.240474,0.111659,0.034040
without_influencer,140,17,1,hybrid,12,0,0.667154,0.327526,0.151910,0.020844
with_influencer,140,20,2,hybrid,12,70,0.672410,0.273501,0.127174,0.032400
with_influencer,140,20,3,hybrid,12,50,0.670097,0.298492,0.138420,0.026137
baseline,140,605,1,cosine,12,5047,0.833333,0.462156,0.201119,0.000000
baseline,140,70,1,cosine,12,5176,0.800000,0.441102,0.192209,0.000000
without_influencer,140,17,2,hybrid,12,1,0.663351,0.570529,0.259378,0.015243
without_influencer,140,17,3,hybrid,12,0,0.674031,0.696833,0.312500,0.012590
without_influencer,140,22,1,hybrid,12,4,0.668453,0.319854,0.148443,0.021468
with_influencer,140,17,1,hybrid,12,161,0.680890,0.225266,0.104723,0.033613
with_influencer,140,17,2,hybrid,12,84,0.677513,0.246236,0.114471,0.037926
without_influencer,140,22,3,hybrid,12,0,0.675197,0.689062,0.309552,0.012126
without_influencer,140,22,2,hybrid,12,0,0.663596,0.570342,0.259056,0.015772
with_influencer,140,17,3,hybrid,12,61,0.673357,0.285588,0.132888,0.029042
with_influencer,140,22,1,hybrid,12,164,0.687600,0.214833,0.099629,0.031844
without_influencer,140,605,1,hybrid,12,10,0.667692,0.318792,0.147713,0.021267
with_influencer,140,22,2,hybrid,12,105,0.677141,0.254200,0.118157,0.038356
with_influencer,140,22,3,hybrid,12,50,0.674727,0.284841,0.132115,0.029063
without_influencer,140,605,2,hybrid,12,0,0.663916,0.568465,0.257971,0.015363
without_influencer,140,605,3,hybrid,12,0,0.675507,0.680385,0.306077,0.012329
with_influencer,140,605,1,hybrid,12,161,0.682582,0.225757,0.104592,0.032285
without_influencer,140,70,1,hybrid,12,0,0.666277,0.329788,0.153166,0.022291
with_influencer,140,605,2,hybrid,12,94,0.680574,0.243629,0.113249,0.038025
with_influencer,140,605,3,hybrid,12,71,0.677850,0.277639,0.129102,0.030449
without_influencer,140,70,2,hybrid,12,1,0.663752,0.559621,0.253995,0.015262
