variant,size,seed,layers,similarity,run_tag,step,moves,tau,entropy,gini,drift,metrics_file
without_influencer,140,17,2,hybrid,without_influencer_size140_seed17_L2_hybrid,2,37,0.502876,0.923431,0.409557,0.20426,outputs\size_sweep\metrics\without_influencer_size140_seed17_L2_hybrid.csv
without_influencer,140,17,2,hybrid,without_influencer_size140_seed17_L2_hybrid,3,6,0.570772,0.78528,0.351504,0.136802,outputs\size_sweep\metrics\without_influencer_size140_seed17_L2_hybrid.csv
without_influencer,140,17,2,hybrid,without_influencer_size140_seed17_L2_hybrid,4,4,0.606482,0.704981,0.317258,0.094528,outputs\size_sweep\metrics\without_influencer_size140_seed17_L2_hybrid.csv
without_influencer,140,17,2,hybrid,without_influencer_size140_seed17_L2_hybrid,5,1,0.626302,0.660775,0.29841,0.068335,outputs\size_sweep\metrics\without_influencer_size140_seed17_L2_hybrid.csv
without_influencer,140,17,2,hybrid,without_influencer_size140_seed17_L2_hybrid,6,3,0.638133,0.633447,0.286729,0.051899,outputs\size_sweep\metrics\without_influencer_size140_seed17_L2_hybrid.csv
without_influencer,140,17,2,hybrid,without_influencer_size140_seed17_L2_hybrid,7,2,0.646215,0.616003,0.27913,0.040441,outputs\size_sweep\metrics\without_influencer_size140_seed17_L2_hybrid.csv
without_influencer,140,17,2,hybrid,without_influencer_size140_seed17_L2_hybrid,8,2,0.651673,0.600837,0.272594,0.032048,outputs\size_sweep\metrics\without_influencer_size140_seed17_L2_hybrid.csv
without_influencer,140,17,2,hybrid,without_influencer_size140_seed17_L2_hybrid,9,0,0.655853,0.590521,0.268071,0.026744,outputs\size_sweep\metrics\without_influencer_size140_seed17_L2_hybrid.csv
without_influencer,140,17,2,hybrid,without_influencer_size140_seed17_L2_hybrid,10,1,0.658911,0.582289,0.264434,0.022275,outputs\size_sweep\metrics\without_influencer_size140_seed17_L2_hybrid.csv
without_influencer,140,17,2,hybrid,without_influencer_size140_seed17_L2_hybrid,11,0,0.661409,0.575831,0.261696,0.018644,outputs\size_sweep\metrics\without_influencer_size140_seed17_L2_hybrid.csv
without_influencer,140,17,2,hybrid,without_influencer_size140_seed17_L2_hybrid,12,1,0.663351,0.570529,0.259378,0.015243,outputs\size_sweep\metrics\without_influencer_size140_seed17_L2_hybrid.csv
without_influencer,140,17,3,hybrid,without_influencer_size140_seed17_L3_hybrid,1,122,0.484444,1.13617,0.49512,0.301422,outputs\size_sweep\metrics\without_influencer_size140_seed17_L3_hybrid.csv
without_influencer,140,17,3,hybrid,without_influencer_size140_seed17_L3_hybrid,2,21,0.579691,0.965921,0.427209,0.193972,outputs\size_sweep\metrics\without_influencer_size140_seed17_L3_hybrid.csv
without_influencer,140,17,3,hybrid,without_influencer_size140_seed17_L3_hybrid,3,7,0.619281,0.86544,0.385716,0.12686,outputs\size_sweep\metrics\without_influencer_size140_seed17_L3_hybrid.csv
without_influencer,140,17,3,hybrid,without_influencer_size140_seed17_L3_hybrid,4,2,0.640597,0.806373,0.360274,0.088603,outputs\size_sweep\metrics\without_influencer_size140_seed17_L3_hybrid.csv
without_influencer,140,17,3,hybrid,without_influencer_size140_seed17_L3_hybrid,5,2,0.652338,0.77028,0.344701,0.064009,outputs\size_sweep\metrics\without_influencer_size140_seed17_L3_hybrid.csv
without_influencer,140,17,3,hybrid,without_influencer_size140_seed17_L3_hybrid,6,2,0.659709,0.748398,0.334998,0.047047,outputs\size_sweep\metrics\without_influencer_size140_seed17_L3_hybrid.csv
without_influencer,140,17,3,hybrid,without_influencer_size140_seed17_L3_hybrid,7,1,0.664284,0.733473,0.3283,0.036278,outputs\size_sweep\metrics\without_influencer_size140_seed17_L3_hybrid.csv
without_influencer,140,17,3,hybrid,without_influencer_size140_seed17_L3_hybrid,8,0,0.667441,0.721888,0.323135,0.027833,outputs\size_sweep\metrics\without_influencer_size140_seed17_L3_hybrid.csv
without_influencer,140,17,3,hybrid,without_influencer_size140_seed17_L3_hybrid,9,0,0.669844,0.715127,0.320387,0.022546,outputs\size_sweep\metrics\without_influencer_size140_seed17_L3_hybrid.csv
without_influencer,140,17,3,hybrid,without_influencer_size140_seed17_L3_hybrid,10,0,0.67165,0.70819,0.317387,0.018554,outputs\size_sweep\metrics\without_influencer_size140_seed17_L3_hybrid.csv
without_influencer,140,17,3,hybrid,without_influencer_size140_seed17_L3_hybrid,11,0,0.672983,0.701064,0.314347,0.015289,outputs\size_sweep\metrics\without_influencer_size140_seed17_L3_hybrid.csv
without_influencer,140,17,3,hybrid,without_influencer_size140_seed17_L3_hybrid,12,0,0.674031,0.696833,0.3125,0.01259,outputs\size_sweep\metrics\without_influencer_size140_seed17_L3_hybrid.csv
without_influencer,140,20,1,hybrid,without_influencer_size140_seed20_L1_hybrid,1,4853,0.146377,0.921426,0.408066,0.313172,outputs\size_sweep\metrics\without_influencer_size140_seed20_L1_hybrid.csv
without_influencer,140,20,1,hybrid,without_influencer_size140_seed20_L1_hybrid,2,2061,0.326642,0.641099,0.28984,0.236533,outputs\size_sweep\metrics\without_influencer_size140_seed20_L1_hybrid.csv
without_influencer,140,20,1,hybrid,without_influencer_size140_seed20_L1_hybrid,3,590,0.458869,0.504885,0.230173,0.160535,outputs\size_sweep\metrics\without_influencer_size140_seed20_L1_hybrid.csv
without_influencer,140,20,1,hybrid,without_influencer_size140_seed20_L1_hybrid,4,161,0.534389,0.447552,0.205521,0.113966,outputs\size_sweep\metrics\without_influencer_size140_seed20_L1_hybrid.csv
without_influencer,140,20,1,hybrid,without_influencer_size140_seed20_L1_hybrid,5,70,0.573927,0.420164,0.193636,0.090186,outputs\size_sweep\metrics\without_influencer_size140_seed20_L1_hybrid.csv
without_influencer,140,20,1,hybrid,without_influencer_size140_seed20_L1_hybrid,6,37,0.601691,0.400288,0.184979,0.069978,outputs\size_sweep\metrics\without_influencer_size140_seed20_L1_hybrid.csv
without_influencer,140,20,1,hybrid,without_influencer_size140_seed20_L1_hybrid,7,19,0.621263,0.384472,0.177889,0.0553,outputs\size_sweep\metrics\without_influencer_size140_seed20_L1_hybrid.csv
without_influencer,140,20,1,hybrid,without_influencer_size140_seed20_L1_hybrid,8,4,0.635744,0.373427,0.172977,0.044608,outputs\size_sweep\metrics\without_influencer_size140_seed20_L1_hybrid.csv
without_influencer,140,20,1,hybrid,without_influencer_size140_seed20_L1_hybrid,9,4,0.646164,0.360602,0.167214,0.035784,outputs\size_sweep\metrics\without_influencer_size140_seed20_L1_hybrid.csv
without_influencer,140,20,1,hybrid,without_influencer_size140_seed20_L1_hybrid,10,6,0.6538,0.352387,0.163518,0.030139,outputs\size_sweep\metrics\without_influencer_size140_seed20_L1_hybrid.csv
without_influencer,140,20,1,hybrid,without_influencer_size140_seed20_L1_hybrid,11,1,0.659573,0.344875,0.160174,0.025505,outputs\size_sweep\metrics\without_influencer_size140_seed20_L1_hybrid.csv
without_influencer,140,20,1,hybrid,without_influencer_size140_seed20_L1_hybrid,12,2,0.664364,0.340009,0.157997,0.021614,outputs\size_sweep\metrics\without_influencer_size140_seed20_L1_hybrid.csv
without_influencer,140,20,2,hybrid,without_influencer_size140_seed20_L2_hybrid,1,828,0.356301,1.102105,0.480629,0.327557,outputs\size_sweep\metrics\without_influencer_size140_seed20_L2_hybrid.csv
without_influencer,140,20,2,hybrid,without_influencer_size140_seed20_L2_hybrid,2,56,0.500901,0.918186,0.40739,0.206299,outputs\size_sweep\metrics\without_influencer_size140_seed20_L2_hybrid.csv
without_influencer,140,20,2,hybrid,without_influencer_size140_seed20_L2_hybrid,3,5,0.569962,0.790751,0.353871,0.136773,outputs\size_sweep\metrics\without_influencer_size140_seed20_L2_hybrid.csv
without_influencer,140,20,2,hybrid,without_influencer_size140_seed20_L2_hybrid,4,3,0.605607,0.710586,0.319775,0.095612,outputs\size_sweep\metrics\without_influencer_size140_seed20_L2_hybrid.csv
